name,code
Kondensator ceramiczny 10 pF 100 V C0G,O2UMEH
Kondensator elektrolityczny 1 uF 25 V osiowy,J7Q8YX
Kondensator foliowy 2.2 nF 63 V MKP,R6WXRP
Dioda prostownicza 1N4002 SMB 2 A,VT2ZFL
Dioda Schottky 1N5818 SMA 1 A,ZITEGO
Dioda Zenera 4.7 V 0.25 W SOD-123,6LO328
Dioda LED czerwona 0603 jasna,73K2KZ
Tranzystor NPN BC548 TO-92 uniwersalny,4L6TV4
Tranzystor PNP BC558 TO-92 uniwersalny,LEQQ3B
Tranzystor MOSFET N-kanal IRF3205 SOT-23 niski Rds(on),4LS979
Tranzystor MOSFET P-kanal AO3401 SO-8 niski Rds(on),BTBUZM
Stabilizator napiecia 7805 TO-220 niski spadek,77H5RP
Cewka osiowa 100 uH 1 A,RBY0SZ
Rezonator kwarcowy 8 MHz SMD 3225 30 ppm,54S1I1
Uklad logiczny 74HC02 TSSOP-14 przemyslowy,WNNOGZ
Wzmacniacz operacyjny TL072 DIP-8 rail-to-rail,M5KAVT
Mikrokontroler ATmega328P TQFP 16 MHz,UQN6M6
Czujnik temperatury TMP36 wodoodporny,5PO0ZD
Czujnik wilgotnosci SHT31 SMD,8E8UXV
Czujnik ruchu PIR EKMB110 zasieg 5 m,B68F5C
Przekaznik Finder mini cewka 12 V styk 1C,AKD0G7
Bezpiecznik polimerowy 500 mA,UTYPKV
Zlacze ARK 3 pin,RHN29B
Przelacznik dzwigniowy 3 pozycje,O0GGZM
Wyswietlacz alfanumeryczny 16x1 bursztynowy,8NVN65
Buzzer magnetyczny 5 V,SJFVZW
Optoizolator MOC3041 SMD,64FYZQ
Modul GPS NEO-6M UART,MWG82P
Przycisk mini zielony,ZEM2VH
Radiator profilowany 60 mm,Q4V9R9
Rezystor metalizowany 1 ohm 0.5 W 5%,SEW2NO
Rezystor SMD 10 ohm 0402 5% wysoka stabilnosc,MRKEHD
Potencjometr obrotowy 5 kOhm logarytmiczny THT,315Z7D
Kondensator ceramiczny 10 pF 100 V Y5V,NP92UO
Kondensator elektrolityczny 1 uF 25 V Low ESR,9GBCW2
Kondensator foliowy 2.2 nF 63 V PPS,I73UZ2
Dioda prostownicza 1N4002 SMC 1 A,U3HXL1
Dioda Schottky 1N5818 SMB 0.5 A,A5KDNH
Dioda Zenera 4.7 V 0.25 W SMA,D56HLM
Dioda LED czerwona 0603 superjasna,QT2PPD
Tranzystor NPN BC548 TO-92 wysokie wzmocnienie,EYYVT0
Tranzystor PNP BC558 TO-92 wysokie wzmocnienie,3SUQYC
Tranzystor MOSFET N-kanal IRF3205 SO-8 logic level,79EWFI
Tranzystor MOSFET P-kanal AO3401 TO-252 logic level,RESFJP
Stabilizator napiecia 7805 TO-220 uniwersalny,GUOI63
Cewka osiowa 220 uH 0.5 A,4T7OF7
Rezonator kwarcowy 8 MHz SMD 3225 50 ppm,CIS2R2
Uklad logiczny 74HC02 DIP-16 standard,93DN3P
Wzmacniacz operacyjny TL072 SOIC-8 niskoszumny,6LCMTP
Mikrokontroler ATmega328P TQFP 48 MHz,SXGLN9
Czujnik temperatury TMP36 SMD 0603,3ECO7Z
Czujnik wilgotnosci SHT31 przemyslowy,WDJEX6
Czujnik ruchu PIR EKMB110 zasieg 7 m,X3R6TP
Przekaznik Finder mini cewka 24 V styk 1A,MQKLMM
Bezpiecznik polimerowy 1 A,QP1JKE
Zlacze ARK 4 pin,RIS4CE
Przelacznik dzwigniowy SPST,PLZQV4
Wyswietlacz segmentowy niebieski 2 cyfry,UFEDKZ
Buzzer magnetyczny 9 V,2R0KBA
Optoizolator HCPL2631 DIP-4,1O4EZC
Modul GPS M8N UART,LW1N7R
Przycisk mini niebieski,GHH1BR
Radiator profilowany 80 mm,DWTDWZ
Rezystor metalizowany 1 ohm 0.5 W 10%,E8F8J8
Rezystor SMD 10 ohm 0402 5% motoryzacyjny,KA7VUX
Potencjometr obrotowy 5 kOhm logarytmiczny SMD,VLER4T
Kondensator ceramiczny 10 pF 100 V NP0,I5FI7W
Kondensator elektrolityczny 1 uF 25 V 105C,G351YQ
Kondensator foliowy 2.2 nF 63 V pulsowy,42TX24
Dioda prostownicza 1N4002 SMC 2 A,RXQDPF
Dioda Schottky 1N5818 SMB 1 A,WDLY6I
Dioda Zenera 4.7 V 0.25 W MELF,L5J6PE
Dioda LED czerwona 0603 dyfuzyjna,832HQB
Tranzystor NPN BC548 TO-92 szybki,RJD2F3
Tranzystor PNP BC558 TO-92 szybki,9HT3TL
Tranzystor MOSFET N-kanal IRF3205 SO-8 niski Rds(on),NHZWI5
Tranzystor MOSFET P-kanal AO3401 TO-252 niski Rds(on),RLTERC
Stabilizator napiecia 7805 SOT-223 liniowy,P6V96L
Cewka osiowa 220 uH 1 A,HWEN13
Rezonator kwarcowy 8 MHz SMD 5032 20 ppm,9Z8VQI
Uklad logiczny 74HC02 DIP-16 przemyslowy,48HL7I
Wzmacniacz operacyjny TL072 SOIC-8 rail-to-rail,K6ERAZ
Mikrokontroler ATmega328P QFN 8 MHz,13ZYZL
Czujnik temperatury TMP36 przewlekany,1HGR7Z
Czujnik wilgotnosci SHT31 mini,VU61N4
Czujnik ruchu PIR EKMB110 zasieg 10 m,KJIUI9
Przekaznik Finder mini cewka 24 V styk 1C,PDZ5B8
Bezpiecznik polimerowy 2 A,QOQVFV
Zlacze ARK 6 pin,UNHBYV
Przelacznik dzwigniowy SPDT,B3AXRC
Wyswietlacz segmentowy zolty 3 cyfry,1RS1ZI
Buzzer magnetyczny 12 V,YX36U9
Optoizolator HCPL2631 SMD,6DJYZO
Modul Ethernet W5500 SPI,QCTOXM
Przycisk mini zolty,TDRG36
Radiator profilowany 100 mm,FN4LCL
Rezystor metalizowany 1 ohm 0.5 W 0.5%,WTIP5U
Rezystor SMD 10 ohm 0402 5% przemyslowy,R4LJC8
Potencjometr obrotowy 5 kOhm precyzyjny THT,S23A6L
Kondensator ceramiczny 22 pF 16 V X7R,31ABEY
Kondensator elektrolityczny 2.2 uF 6.3 V radialny,QDXET6
Kondensator foliowy 2.2 nF 100 V MKT,2KWQLA
Dioda prostownicza 1N4003 DO-41 1 A,GW6V3R
Dioda Schottky 1N5819 DO-41 0.5 A,MKWYGI
Dioda Zenera 4.7 V 0.5 W DO-35,P5D907
Dioda LED czerwona 0603 clear,1RDDQV
Tranzystor NPN BC548 SOT-23 niskoszumny,7HGYEG
Tranzystor PNP BC558 SOT-23 niskoszumny,EYLVX9
Tranzystor MOSFET N-kanal AO3400 TO-220 logic level,BMDPK3
Tranzystor MOSFET P-kanal BSS84 TO-220 logic level,5O8FWA
Stabilizator napiecia 7805 SOT-223 niski spadek,DNODH0
Cewka osiowa 470 uH 0.5 A,8BFHRN
Rezonator kwarcowy 8 MHz SMD 5032 30 ppm,5HBKW0
Uklad logiczny 74HC04 DIP-14 standard,96EPK6
Wzmacniacz operacyjny TL072 TSSOP-8 niskoszumny,O06EP8
Mikrokontroler ATmega328P QFN 16 MHz,BJM7KO
Czujnik temperatury TMP36 sonda,HQJFDC
Czujnik wilgotnosci AHT10 modul,SUBU66
Czujnik ruchu PIR PIR mini zasieg 3 m,FO1TPQ
Przekaznik Songle cewka 5 V styk 1A,KWCQ1C
Bezpiecznik polimerowy 3.15 A,H9Y01X
Zlacze ARK 8 pin,QEQS8S
Przelacznik krancowy 2 pozycje,624OAL
Wyswietlacz matrycowy 8x8 czerwony,PIQMQ6
Modul USB-UART CH340G,O6YIYS
Przycisk mini czarny,JT4IUD
Radiator z wentylatorem 40 mm,8N0G01
Rezystor metalizowany 1 ohm 0.5 W 0.25%,NEQ811
Rezystor SMD 10 ohm 0402 5% precyzyjny,1YJ1OL
Potencjometr obrotowy 5 kOhm precyzyjny SMD,ENXF3R
Kondensator ceramiczny 22 pF 16 V C0G,7USM3U
Kondensator elektrolityczny 2.2 uF 6.3 V osiowy,8FUR7K
Kondensator foliowy 2.2 nF 100 V MKP,9VLR10
Dioda prostownicza 1N4003 DO-41 2 A,SQE867
Dioda Schottky 1N5819 DO-41 1 A,0IPETX
Dioda Zenera 4.7 V 0.5 W SOD-123,B7ZE52
Dioda LED czerwona 0603 ciepla,ED3XC1
Tranzystor NPN BC548 SOT-23 uniwersalny,L0V4QK
Tranzystor PNP BC558 SOT-23 uniwersalny,8B0NQO
Tranzystor MOSFET N-kanal AO3400 TO-220 niski Rds(on),H7Z2AP
Tranzystor MOSFET P-kanal BSS84 TO-220 niski Rds(on),GYE71R
Stabilizator napiecia 7805 SOT-223 uniwersalny,BI8O5V
Cewka osiowa 470 uH 1 A,XXK4T4
Rezonator kwarcowy 8 MHz SMD 5032 50 ppm,XOMAG9
Uklad logiczny 74HC04 DIP-14 przemyslowy,EZPVWW
Wzmacniacz operacyjny TL072 TSSOP-8 rail-to-rail,S2PBHY
Mikrokontroler ATmega328P QFN 48 MHz,JUDJ01
Czujnik temperatury TMP36 przemyslowy,UBIHY2
Czujnik wilgotnosci AHT10 SMD,IV3P6G
Czujnik ruchu PIR PIR mini zasieg 5 m,6AY14U
Przekaznik Songle cewka 5 V styk 1C,A7Y8BG
Bezpiecznik polimerowy 5 A,QZSCFG
Zlacze ARK 10 pin,G34A6I
Przelacznik krancowy 3 pozycje,IUFMR7
Wyswietlacz matrycowy 8x8 zielony,WZGMKL
Modul USB-UART CP2102,CV6VM3
Przycisk mini bialy,YLOUGM
Radiator z wentylatorem 60 mm,I0XMJM
Rezystor metalizowany 2.2 ohm 0.125 W 1%,EZW42X
Rezystor SMD 10 ohm 0603 1% niski szum,SCJGT7
Potencjometr obrotowy 10 kOhm liniowy THT,HDN35V
Kondensator ceramiczny 22 pF 16 V Y5V,Z5OZHB
Kondensator elektrolityczny 2.2 uF 6.3 V Low ESR,D0S1C3
Kondensator foliowy 2.2 nF 100 V PPS,N1VOU3
Dioda prostownicza 1N4003 SMA 1 A,T3JEAO
Dioda Schottky 1N5819 SOD-123 0.5 A,1VTWAI
Dioda Zenera 4.7 V 0.5 W SMA,2HRVEV
Dioda LED czerwona 0805 standard,MKIGG1
Tranzystor NPN BC548 SOT-23 wysokie wzmocnienie,73NAHU
Tranzystor PNP BC558 SOT-23 wysokie wzmocnienie,FLVQ9X
Tranzystor MOSFET N-kanal AO3400 TO-252 logic level,3V715L
Tranzystor MOSFET P-kanal BSS84 SOT-23 logic level,45SBMW
Stabilizator napiecia 7809 TO-92 liniowy,FLN0H7
Cewka SMD ekranowana 1 uH 0.5 A,VPFDOH
Rezonator kwarcowy 12 MHz HC-49 20 ppm,SOPCTM
Uklad logiczny 74HC04 SOIC-14 standard,C4PYTT
Wzmacniacz operacyjny NE5532 DIP-8 niskoszumny,QT6457
Mikrokontroler ATtiny13 DIP 8 MHz,3YRCV3
Czujnik temperatury NTC 10k TO-92,HX02P9
Czujnik wilgotnosci AHT10 przemyslowy,ESFE03
Czujnik ruchu PIR PIR mini zasieg 7 m,TCKMWR
Przekaznik Songle cewka 9 V styk 1A,IJJY23
Bezpiecznik SMD 250 mA,A4S94I
Zlacze IDC 2 pin,0Z5FOZ
Przelacznik krancowy SPST,AUHFAN
Wyswietlacz OLED 2.42 cala bialy,N8MQXS
Przycisk panelowy czerwony,4JZMWN
Rezystor metalizowany 2.2 ohm 0.125 W 2%,TJXNKC
Rezystor SMD 10 ohm 0603 1% standard,LLJOE4
Potencjometr obrotowy 10 kOhm liniowy SMD,ZB20HD
Kondensator ceramiczny 22 pF 16 V NP0,59M4ZM
Kondensator elektrolityczny 2.2 uF 6.3 V 105C,8AJ01W
Kondensator foliowy 2.2 nF 100 V pulsowy,8I70PQ
Dioda prostownicza 1N4003 SMA 2 A,I1XCM2
Dioda Schottky 1N5819 SOD-123 1 A,8OCA9M
Dioda Zenera 4.7 V 0.5 W MELF,TMY3UN
Dioda LED czerwona 0805 jasna,SQO1AO
Tranzystor NPN BC548 SOT-23 szybki,76ODAN
Tranzystor PNP BC558 SOT-23 szybki,KHL2VL
Tranzystor MOSFET N-kanal AO3400 TO-252 niski Rds(on),5GXMJI
Tranzystor MOSFET P-kanal BSS84 SOT-23 niski Rds(on),J164R3
Stabilizator napiecia 7809 TO-92 niski spadek,WRSRDR
Cewka SMD ekranowana 1 uH 1 A,496MRP
Rezonator kwarcowy 12 MHz HC-49 30 ppm,VPV9FS
Uklad logiczny 74HC04 SOIC-14 przemyslowy,HL7AZ7
Wzmacniacz operacyjny NE5532 DIP-8 rail-to-rail,YOSL94
Mikrokontroler ATtiny13 DIP 16 MHz,JEVFGU
Czujnik temperatury NTC 10k wodoodporny,HJQ8DH
Czujnik wilgotnosci AHT10 mini,3LM8KI
Czujnik ruchu PIR PIR mini zasieg 10 m,OEDFSH
Przekaznik Songle cewka 9 V styk 1C,QUKV3P
Bezpiecznik SMD 500 mA,FTIPT6
Zlacze IDC 3 pin,28C0PN
Przelacznik krancowy SPDT,3S8DYZ
Wyswietlacz OLED 0.91 cala niebieski,FQHNFA
Przycisk panelowy zielony,MT5L1W
Rezystor metalizowany 2.2 ohm 0.125 W 5%,3TM8Q5
Rezystor SMD 10 ohm 0603 1% wysoka stabilnosc,QXZVR4
Potencjometr obrotowy 10 kOhm logarytmiczny THT,XVLD4D
Kondensator ceramiczny 22 pF 25 V X7R,O4YLE9
Kondensator elektrolityczny 2.2 uF 10 V radialny,SOKEQU
Kondensator foliowy 2.2 nF 250 V MKT,CAFKJR
Dioda prostownicza 1N4003 SMB 1 A,RZUDYD
Dioda Schottky 1N5819 SMA 0.5 A,83EDCE
Dioda Zenera 4.7 V 1 W DO-35,5RNCIU
Dioda LED czerwona 0805 superjasna,VFV0QF
Tranzystor NPN BC548 TO-18 niskoszumny,647SDN
Tranzystor PNP BC558 TO-18 niskoszumny,MTMZLV
Tranzystor MOSFET N-kanal AO3400 SOT-23 logic level,S36B4D
Tranzystor MOSFET P-kanal BSS84 SO-8 logic level,QP6SKI
Stabilizator napiecia 7809 TO-92 uniwersalny,FK3SFY
Cewka SMD ekranowana 2.2 uH 0.5 A,7LIN7B
Rezonator kwarcowy 12 MHz HC-49 50 ppm,ZVOY5G
Uklad logiczny 74HC04 TSSOP-14 standard,USQ416
Wzmacniacz operacyjny NE5532 SOIC-8 niskoszumny,Q6FPOU
Mikrokontroler ATtiny13 DIP 48 MHz,TR0AUB
Czujnik temperatury NTC 10k SMD 0603,22WXMX
Czujnik wilgotnosci AHT20 modul,V2GYC3
Czujnik ruchu PIR PIR standard zasieg 3 m,7YJUOK
Przekaznik Songle cewka 12 V styk 1A,KNH241
Bezpiecznik SMD 1 A,KP84I9
Zlacze IDC 4 pin,6K6SVO
Przelacznik obrotowy 2 pozycje,U3GGJG
Wyswietlacz TFT 3.2 cala dotykowy,9WOGUJ
Przycisk panelowy niebieski,V697S2
Rezystor metalizowany 2.2 ohm 0.125 W 10%,1F98VP
Rezystor SMD 10 ohm 0603 1% motoryzacyjny,8DP1WR
Potencjometr obrotowy 10 kOhm logarytmiczny SMD,Y1MX54
Kondensator ceramiczny 22 pF 25 V C0G,D2HUK7
Kondensator elektrolityczny 2.2 uF 10 V osiowy,VM0G1G
Kondensator foliowy 2.2 nF 250 V MKP,6L1QVY
Dioda prostownicza 1N4003 SMB 2 A,MOQP9V
Dioda Schottky 1N5819 SMA 1 A,XBPKNT
Dioda Zenera 4.7 V 1 W SOD-123,LBJ510
Dioda LED czerwona 0805 dyfuzyjna,B5SPVR
Tranzystor NPN BC548 TO-18 uniwersalny,MDUFSV
Tranzystor PNP BC558 TO-18 uniwersalny,LRIGJI
Tranzystor MOSFET N-kanal AO3400 SOT-23 niski Rds(on),OJ24SC
Tranzystor MOSFET P-kanal BSS84 SO-8 niski Rds(on),X0PNET
Stabilizator napiecia 7809 TO-220 liniowy,KLDWL4
Cewka SMD ekranowana 2.2 uH 1 A,XQOGC9
Rezonator kwarcowy 12 MHz SMD 3225 20 ppm,RQOX84
Uklad logiczny 74HC04 TSSOP-14 przemyslowy,GSVLP8
Wzmacniacz operacyjny NE5532 SOIC-8 rail-to-rail,WMJXVD
Mikrokontroler ATtiny13 TQFP 8 MHz,UFYJLD
Czujnik temperatury NTC 10k przewlekany,FJRY9H
Czujnik wilgotnosci AHT20 SMD,95X154
Czujnik ruchu PIR PIR standard zasieg 5 m,I6PAL9
Przekaznik Songle cewka 12 V styk 1C,S6QF16
Bezpiecznik SMD 2 A,AJ0D89
Zlacze IDC 6 pin,AUI42O
Przelacznik obrotowy 3 pozycje,4TCUKF
Wyswietlacz LCD 128x64 graficzny,H7Y2PJ
Przycisk panelowy zolty,4W10GV
Rezystor metalizowany 2.2 ohm 0.125 W 0.5%,MPTZA4
Rezystor SMD 10 ohm 0603 1% przemyslowy,2DRHPN
Potencjometr obrotowy 10 kOhm precyzyjny THT,YCJ6WQ
Kondensator ceramiczny 22 pF 25 V Y5V,PRDBXE
Kondensator elektrolityczny 2.2 uF 10 V Low ESR,KD1R1X
Kondensator foliowy 2.2 nF 250 V PPS,O84AZC
Dioda prostownicza 1N4003 SMC 1 A,YJHKVO
Dioda Schottky 1N5819 SMB 0.5 A,PCKHYV
Dioda Zenera 4.7 V 1 W SMA,SWNC2L
Dioda LED czerwona 0805 clear,17XX6W
Tranzystor NPN BC548 TO-18 wysokie wzmocnienie,ABCH8O
Tranzystor PNP BC558 TO-18 wysokie wzmocnienie,29SCSW
Tranzystor MOSFET N-kanal AO3400 SO-8 logic level,SG59QU
Tranzystor MOSFET P-kanal BSS84 TO-252 logic level,YCFFSD
Stabilizator napiecia 7809 TO-220 niski spadek,GCHBH5
Cewka SMD ekranowana 4.7 uH 0.5 A,1LJZN0
Rezonator kwarcowy 12 MHz SMD 3225 30 ppm,6389EY
Uklad logiczny 74HC04 DIP-16 standard,4YBR02
Wzmacniacz operacyjny NE5532 TSSOP-8 niskoszumny,L5OUC8
Mikrokontroler ATtiny13 TQFP 16 MHz,GLHMGD
Czujnik temperatury NTC 10k sonda,8H1B1D
Czujnik wilgotnosci AHT20 przemyslowy,8LQXJ3
Czujnik ruchu PIR PIR standard zasieg 7 m,KMEZBG
Przekaznik Songle cewka 24 V styk 1A,342TB7
Bezpiecznik SMD 3.15 A,I1GGI7
Zlacze IDC 8 pin,LV1EVP
Przelacznik obrotowy SPST,YNV549
Wyswietlacz LED bargraph 10 segmentow czerwony,BX9N0D
Przycisk panelowy czarny,8N0IV5
Rezystor metalizowany 2.2 ohm 0.125 W 0.25%,59NXBP
Rezystor SMD 10 ohm 0603 1% precyzyjny,YPEG3Y
Potencjometr obrotowy 10 kOhm precyzyjny SMD,OZP1D8
Kondensator ceramiczny 22 pF 25 V NP0,MY951G
Kondensator elektrolityczny 2.2 uF 10 V 105C,M7D9TK
Kondensator foliowy 2.2 nF 250 V pulsowy,A7HH7K
Dioda prostownicza 1N4003 SMC 2 A,MQWPCR
Dioda Schottky 1N5819 SMB 1 A,MC6XA6
Dioda Zenera 4.7 V 1 W MELF,7IHKG8
Dioda LED czerwona 0805 ciepla,SWGNN0
Tranzystor NPN BC548 TO-18 szybki,5ETH2O
Tranzystor PNP BC558 TO-18 szybki,8EEZS3
Tranzystor MOSFET N-kanal AO3400 SO-8 niski Rds(on),BE5RWG
Tranzystor MOSFET P-kanal BSS84 TO-252 niski Rds(on),QPN9GM
Stabilizator napiecia 7809 TO-220 uniwersalny,X6E9FD
Cewka SMD ekranowana 4.7 uH 1 A,V0AMJW
Rezonator kwarcowy 12 MHz SMD 3225 50 ppm,FRM2I6
Uklad logiczny 74HC04 DIP-16 przemyslowy,PO0PQC
Wzmacniacz operacyjny NE5532 TSSOP-8 rail-to-rail,EF155G
Mikrokontroler ATtiny13 TQFP 48 MHz,UBZWKW
Czujnik temperatury NTC 10k przemyslowy,FJGZHX
Czujnik wilgotnosci AHT20 mini,G67VWK
Czujnik ruchu PIR PIR standard zasieg 10 m,NBFHIF
Przekaznik Songle cewka 24 V styk 1C,K87WSY
Bezpiecznik SMD 5 A,F4QWRC
Zlacze IDC 10 pin,H0FRK1
Przelacznik obrotowy SPDT,YJ8KKG
Wyswietlacz LED bargraph 10 segmentow zielony,3DXT05
Przycisk panelowy bialy,4M75N6
Rezystor metalizowany 2.2 ohm 0.25 W 1%,8J2HS1
Rezystor SMD 10 ohm 0603 2% niski szum,DR1BWY
Potencjometr obrotowy 20 kOhm liniowy THT,2QQZLJ
Kondensator ceramiczny 22 pF 50 V X7R,N33LWK
Kondensator elektrolityczny 2.2 uF 16 V radialny,RUSGH1
Kondensator foliowy 4.7 nF 63 V MKT,JT5IZA
Dioda prostownicza 1N4004 DO-41 1 A,Z20V4M
Dioda Schottky SS14 DO-41 0.5 A,0OZ0T5
Dioda Zenera 5.1 V 0.25 W DO-35,GZYPD3
Dioda LED czerwona 1206 standard,MC6T9L
Tranzystor NPN BC549 TO-92 niskoszumny,7VPRMN
Tranzystor PNP BC559 TO-92 niskoszumny,OW8GPX
Tranzystor MOSFET N-kanal 2N7002 TO-220 logic level,PEX0BM
Tranzystor MOSFET P-kanal IRLML6402 TO-220 logic level,KDGJD6
Stabilizator napiecia 7809 SOT-223 liniowy,Z99DCQ
Cewka SMD ekranowana 10 uH 0.5 A,XCMLKM
Rezonator kwarcowy 12 MHz SMD 5032 20 ppm,QMU4NB
Uklad logiczny 74HC08 DIP-14 standard,ZX6EY3
Wzmacniacz operacyjny OPA2134 DIP-8 niskoszumny,AZG36D
Mikrokontroler ATtiny13 QFN 8 MHz,MKDGJI
Czujnik temperatury NTC 100k TO-92,5JO6RP
Przekaznik Omron G5V cewka 5 V styk 1A,KJLXMS
Bezpiecznik zwloczny 250 mA,2ZCGOX
Zlacze JST-XH 2 pin,WU4YWI
Przelacznik mikroprzelacznik 2 pozycje,IUFXDF
Wyswietlacz Nixie mini IN-12 kompatybilny,Q1M49J
Rezystor metalizowany 2.2 ohm 0.25 W 2%,IV2D1W
Rezystor SMD 10 ohm 0603 2% standard,SP70V2
Potencjometr obrotowy 20 kOhm liniowy SMD,NNB7Y3
Kondensator ceramiczny 22 pF 50 V C0G,DXBT3P
Kondensator elektrolityczny 2.2 uF 16 V osiowy,7YL6FS
Kondensator foliowy 4.7 nF 63 V MKP,UTWMDW
Dioda prostownicza 1N4004 DO-41 2 A,47VE0Z
Dioda Schottky SS14 DO-41 1 A,K4Y0UK
Dioda Zenera 5.1 V 0.25 W SOD-123,3QTAXC
Dioda LED czerwona 1206 jasna,5P1118
Tranzystor NPN BC549 TO-92 uniwersalny,FN1AF4
Tranzystor PNP BC559 TO-92 uniwersalny,SI9EM5
Tranzystor MOSFET N-kanal 2N7002 TO-220 niski Rds(on),C84LL3
Tranzystor MOSFET P-kanal IRLML6402 TO-220 niski Rds(on),4IEL2G
Stabilizator napiecia 7809 SOT-223 niski spadek,7MNKNT
Cewka SMD ekranowana 10 uH 1 A,KAJK6Q
Rezonator kwarcowy 12 MHz SMD 5032 30 ppm,H9UX5N
Uklad logiczny 74HC08 DIP-14 przemyslowy,5ZHGQ7
Wzmacniacz operacyjny OPA2134 DIP-8 rail-to-rail,Q84W61
Mikrokontroler ATtiny13 QFN 16 MHz,1OD888
Czujnik temperatury NTC 100k wodoodporny,8LZX10
Przekaznik Omron G5V cewka 5 V styk 1C,OMSJ5P
Bezpiecznik zwloczny 500 mA,FOS8N6
Zlacze JST-XH 3 pin,AAU35U
Przelacznik mikroprzelacznik 3 pozycje,R1I476
Wyswietlacz OLED 1.54 cala zolty,SRSTO3
Rezystor metalizowany 2.2 ohm 0.25 W 5%,DX0MQC
Rezystor SMD 10 ohm 0603 2% wysoka stabilnosc,T6CCUW
Potencjometr obrotowy 20 kOhm logarytmiczny THT,HRTZLU
Kondensator ceramiczny 22 pF 50 V Y5V,PH68EG
Kondensator elektrolityczny 2.2 uF 16 V Low ESR,TAJ5WN
Kondensator foliowy 4.7 nF 63 V PPS,FMQTXL
Dioda prostownicza 1N4004 SMA 1 A,EGYV3T
Dioda Schottky SS14 SOD-123 0.5 A,10BYCF
Dioda Zenera 5.1 V 0.25 W SMA,TKUMKQ
Dioda LED czerwona 1206 superjasna,5YL3FO
Tranzystor NPN BC549 TO-92 wysokie wzmocnienie,ZRMB6W
Tranzystor PNP BC559 TO-92 wysokie wzmocnienie,VIR2OT
Tranzystor MOSFET N-kanal 2N7002 TO-252 logic level,JO1M5D
Tranzystor MOSFET P-kanal IRLML6402 SOT-23 logic level,J1NRK9
Stabilizator napiecia 7809 SOT-223 uniwersalny,NLQNRV
Cewka SMD ekranowana 22 uH 0.5 A,WA15AJ
Rezonator kwarcowy 12 MHz SMD 5032 50 ppm,ORSIGH
Uklad logiczny 74HC08 SOIC-14 standard,9O56U4
Wzmacniacz operacyjny OPA2134 SOIC-8 niskoszumny,X9JUCF
Mikrokontroler ATtiny13 QFN 48 MHz,WOI5ZU
Czujnik temperatury NTC 100k SMD 0603,XTGRUM
Przekaznik Omron G5V cewka 9 V styk 1A,OZI860
Bezpiecznik zwloczny 1 A,7THLUQ
Zlacze JST-XH 4 pin,V1SQVO
Przelacznik mikroprzelacznik SPST,54UDNB
Wyswietlacz TFT 0.96 cala RGB,LS6CIE
Rezystor metalizowany 2.2 ohm 0.25 W 10%,91BP0H
Rezystor SMD 10 ohm 0603 2% motoryzacyjny,NGON86
Potencjometr obrotowy 20 kOhm logarytmiczny SMD,4TTQ28
Kondensator ceramiczny 22 pF 50 V NP0,ES20EA
Kondensator elektrolityczny 2.2 uF 16 V 105C,XB0P5Y
Kondensator foliowy 4.7 nF 63 V pulsowy,FQ1G1M
Dioda prostownicza 1N4004 SMA 2 A,71CIIN
Dioda Schottky SS14 SOD-123 1 A,6SV0Z9
Dioda Zenera 5.1 V 0.25 W MELF,GUFB0Q
Dioda LED czerwona 1206 dyfuzyjna,CDWUZN
Tranzystor NPN BC549 TO-92 szybki,VEMXMS
Tranzystor PNP BC559 TO-92 szybki,V43IBC
Tranzystor MOSFET N-kanal 2N7002 TO-252 niski Rds(on),F42GR8
Tranzystor MOSFET P-kanal IRLML6402 SOT-23 niski Rds(on),3LTTOO
Stabilizator napiecia 7812 TO-92 liniowy,0WFO3I
Cewka SMD ekranowana 22 uH 1 A,D8F1TS
Rezonator kwarcowy 16 MHz HC-49 20 ppm,KQ4ZBT
Uklad logiczny 74HC08 SOIC-14 przemyslowy,IF6T2F
Wzmacniacz operacyjny OPA2134 SOIC-8 rail-to-rail,16WIO9
Mikrokontroler ATtiny85 DIP 8 MHz,JBT7I9
Czujnik temperatury NTC 100k przewlekany,DV2JY7
Przekaznik Omron G5V cewka 9 V styk 1C,AYDRTA
Bezpiecznik zwloczny 2 A,OHRGCT
Zlacze JST-XH 6 pin,77SQFR
Przelacznik mikroprzelacznik SPDT,2M6VBO
Wyswietlacz LCD 84x48 monochromatyczny,CZQD3Y
Rezystor metalizowany 2.2 ohm 0.25 W 0.5%,TELRJJ
Rezystor SMD 10 ohm 0603 2% przemyslowy,GOGG86
Potencjometr obrotowy 20 kOhm precyzyjny THT,J4E2SP
Kondensator ceramiczny 22 pF 100 V X7R,FPV8GM
Kondensator elektrolityczny 2.2 uF 25 V radialny,XYIQ3W
Kondensator foliowy 4.7 nF 100 V MKT,7YURUL
Dioda prostownicza 1N4004 SMB 1 A,OPSGSI
Dioda Schottky SS14 SMA 0.5 A,XQ4Q94
Dioda Zenera 5.1 V 0.5 W DO-35,RNBWEG
Dioda LED czerwona 1206 clear,DFPWVR
Tranzystor NPN BC549 SOT-23 niskoszumny,QFPMEI
Tranzystor PNP BC559 SOT-23 niskoszumny,AT400J
Tranzystor MOSFET N-kanal 2N7002 SOT-23 logic level,IPLRWF
Tranzystor MOSFET P-kanal IRLML6402 SO-8 logic level,5SSHV4
Stabilizator napiecia 7812 TO-92 niski spadek,QZ0ZFD
